CSZJJ,Taisho No.,length,rushiwowen,wenrushi,wowenrushi,rushiwen,not_in_shanzai,ye2_count,er3_count,ye3_count,ye2_final_count,er3_final_count,ye3_final_count,wei4_count,wei4_grammar_count,bei_count,bei_grammar_count,hezhe_count,hedengren_count,cun_count,tian_count,sixiang_count,di_count,di_sense_count,shigu_count,shigu_sense_count,yiqie_count,yiqie_sense_count,error,notes
四十二章經,T 784,1394,False,False,False,False,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
陰持入經,T 603,14812,False,False,False,False,0,0,10,0,0,0,0,2,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
大道地經,T 607,11523,False,False,False,False,0,3,8,1,1,0,1,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
人本欲生經,T 14,8986,False,True,False,False,2,0,2,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿毘曇五法經,T 1557,6048,False,False,False,False,0,0,8,0,0,0,0,8,8,0,0,0,0,0,0,0,0,0,0,0,0,0,,
十報經,T 13,15109,False,True,False,False,0,4,4,0,3,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
普法義經,T 98,4456,False,True,False,False,0,1,2,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
漏分布經,T 57,3815,False,True,False,False,0,0,1,0,0,0,0,34,34,0,0,0,0,0,0,0,0,0,0,0,0,0,,
四諦經,T 32,4886,False,True,False,False,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
七處三觀經,T 150A,14703,False,True,False,False,0,2,5,1,2,17,2,11,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
九橫經,T 150B,723,False,False,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
八正道經,T 112,967,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
五十校計經,T 397 (13),14434,False,False,False,False,2,1,61,1,0,3,17,13,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
大安般經,T 602,20832,False,False,False,False,1,1,16,289,1,3,270,178,1008,0,0,0,0,0,0,0,2,0,0,0,0,0,,
五陰喻經,T 105,1084,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
轉法輪經,T 109,982,False,True,False,False,0,0,0,3,0,0,3,10,10,0,0,0,0,0,0,0,0,0,0,0,0,0,,
流攝經,T 31,2419,False,True,False,False,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
是法非法經,T 48,1878,False,True,False,False,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
法受塵經,T 792,540,False,True,False,False,0,0,2,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
本相猗致經,T 36,1215,False,True,False,False,0,0,0,0,0,0,0,18,16,0,0,0,0,0,0,0,0,0,0,0,0,0,,
阿鋡口解,T 1508,4509,False,False,False,False,0,0,8,0,0,4,0,25,20,1,0,0,0,0,0,0,0,0,0,0,0,0,,
禪行法想經,T 605,487,False,True,False,False,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (1),11577,False,False,False,False,11,5,11,30,1,8,7,33,27,0,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (2),13821,False,False,False,False,2,32,9,5,2,7,3,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (3),10966,False,False,False,False,8,35,0,0,0,0,0,15,15,5,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (4),9874,False,False,False,False,6,20,3,2,1,1,2,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (5),10848,False,False,False,False,1,43,8,23,5,7,23,24,23,0,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (6),8048,False,False,False,False,2,27,12,25,5,5,20,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (7),9414,False,False,False,False,4,53,5,22,0,4,13,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (8),9457,False,False,False,False,0,14,1,22,7,1,21,2,0,5,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (9),10365,False,False,False,False,10,4,6,1,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
般若道行品經,T 224 (10),7528,False,False,False,False,6,10,7,0,2,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
般舟般三昧經,T 418 (1),9257,False,False,False,False,0,2,11,1,0,10,1,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
般舟般三昧經,T 418 (2),10307,False,False,False,False,0,10,5,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
般舟般三昧經,T 418 (3),8691,False,False,False,False,0,11,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
方等部古品曰遺日說般若經,T 350,9202,False,False,False,False,0,7,5,77,3,2,75,18,16,6,0,0,0,0,0,0,0,0,0,0,0,0,,
阿闍世王經,T 626 (1),15902,False,True,False,False,2,26,2,0,0,0,0,53,37,3,0,0,0,0,0,0,0,0,0,0,0,0,,
阿闍世王經,T 626 (2),17796,False,False,False,False,3,18,2,1,0,1,1,58,72,1,0,0,0,0,0,0,0,0,0,0,0,0,,
問署經,T 458,12630,False,True,False,False,18,11,1,1,1,0,0,33,11,1,0,0,0,0,0,0,0,0,0,0,0,0,,
兜沙經,T 280,3008,False,False,False,False,0,5,0,2,3,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
阿閦佛國經,T 313 (1),12491,False,True,False,False,4,2,0,37,1,0,36,10,10,9,5,0,0,0,0,0,0,0,0,0,0,0,,
阿閦佛國經,T 313 (2),11293,False,False,False,False,0,2,12,9,0,6,9,5,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,
內藏百品經,T 807,4953,False,False,False,False,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
成具光明經,T 630,14312,False,True,False,False,7,1,3,49,1,3,33,25,16,2,0,0,0,0,0,0,0,0,0,0,0,0,,
法鏡經,T 322,13396,False,True,False,False,47,5,6,86,0,4,77,58,52,4,0,0,0,0,0,0,0,0,0,0,0,0,,
中本起經,T 196 (1),15009,False,True,False,False,6,17,10,18,7,7,17,27,18,6,2,0,0,0,0,0,0,0,0,0,0,0,,
中本起經,T 196 (2),14011,False,False,False,False,8,8,9,26,3,4,26,21,4,5,1,0,0,0,0,0,0,0,0,0,0,0,,
法句經,T 210 (1),11933,False,True,False,False,3,0,0,6,0,0,0,13,2,2,1,0,0,0,0,0,0,0,0,0,0,0,,
法句經,T 210 (2),12379,False,False,False,False,3,0,2,0,0,0,0,50,38,2,2,0,0,0,0,0,0,0,0,0,0,0,,
維摩詰經,T 474 (1),16634,False,True,False,False,29,24,5,52,3,2,22,53,48,1,0,0,0,0,0,0,0,0,0,0,0,0,,
維摩詰經,T 474 (2),17041,False,False,False,False,11,8,9,45,2,4,19,33,24,0,0,0,0,0,0,0,0,0,0,0,0,0,,
大般泥洹經,T 6,27175,False,True,False,False,22,21,12,61,5,4,18,47,65,4,0,0,0,0,0,0,0,0,0,0,0,0,,
瑞應本起經,T 185 (1),9344,False,False,False,False,4,2,5,23,1,4,17,11,6,6,1,0,0,0,0,0,2,0,0,0,0,0,,
瑞應本起經,T 185 (2),8875,False,False,False,False,2,8,14,51,3,12,25,9,6,1,6,0,0,0,0,0,0,0,0,0,0,0,,
慧印經,T 632,13638,False,True,False,False,1,4,3,27,0,4,25,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
本業經,T 281,7676,False,True,False,False,5,1,0,2,0,0,2,15,15,5,0,0,0,0,0,0,0,0,0,0,0,0,,
梵摩渝經,T 76,4976,False,True,False,False,7,2,4,21,2,0,19,12,11,2,0,0,0,0,1,0,0,0,0,0,0,0,,
私阿末經,T 532,7081,False,True,False,False,4,0,3,1,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
微密持經,T 1011,3147,False,True,False,False,2,1,0,4,0,0,4,2,2,1,0,0,0,0,0,0,0,0,0,0,0,0,,
阿彌陀經,T 362 (1),17516,False,False,False,False,2,11,20,73,5,17,74,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,,
阿彌陀經,T 362 (2),14113,False,False,False,False,2,4,11,6,0,7,6,1,0,6,2,0,0,0,0,0,0,0,0,0,0,0,,
月明童子經,T 169,1691,False,True,False,False,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
義足經,T 198 (1),12543,False,True,False,False,4,5,8,8,5,5,8,23,14,15,9,0,0,0,0,0,0,0,0,0,0,0,,
義足經,T 198 (2),12974,False,True,False,False,5,0,3,0,0,3,0,8,7,7,4,0,0,0,0,0,0,0,0,0,0,0,,
阿難四事經,T 493,1983,False,True,False,False,2,1,1,9,1,1,6,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,,
差摩竭經,T 533,1613,False,True,False,False,1,2,0,3,2,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
七女經,T 556,3795,False,True,False,False,2,2,3,1,2,2,1,2,2,5,1,0,0,0,0,0,0,0,0,0,0,0,,
八師經,T 581,2340,False,True,False,False,1,1,2,1,0,0,1,7,7,1,1,0,0,0,0,0,0,0,0,0,0,0,,
釋摩男經,T 54,2227,False,True,False,False,0,4,5,0,4,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,,
孛抄經,T 790,12247,False,True,False,False,2,7,15,46,5,12,46,13,3,4,1,0,0,0,0,0,0,0,0,0,0,0,,
明度經,T 225 (1),9639,False,True,False,False,12,12,8,174,3,7,33,37,18,1,1,0,0,0,0,0,0,0,0,0,0,0,,
明度經,T 225 (2),10373,False,False,False,False,8,4,5,22,2,4,6,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0,,
明度經,T 225 (3),10488,False,False,False,False,6,2,6,43,1,6,23,2,2,4,4,0,0,0,0,0,0,0,0,0,0,0,,
明度經,T 225 (4),12305,False,False,False,False,5,5,17,30,4,7,7,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,
明度經,T 225 (5),10976,False,False,False,False,4,7,8,21,6,11,21,3,2,3,0,0,0,0,0,0,0,0,0,0,0,0,,
明度經,T 225 (6),8893,False,False,False,False,16,3,6,6,2,3,5,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,,
老女人經,T 559,1309,False,True,False,False,2,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,,
齋經,T 87,2073,False,True,False,False,0,6,2,0,0,2,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
四願經,T 735,2711,False,True,False,False,0,0,4,3,0,0,1,3,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,
悔過經,T 1492,2535,False,False,False,False,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,,
了本生死經,T 708,2737,False,False,False,False,0,0,1,2,0,0,2,29,28,0,0,0,0,0,0,0,0,0,0,0,0,0,,
龍施女經,T 557,1350,False,True,False,False,0,1,2,0,0,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,,
賴吒和羅經,T 68,6085,False,True,False,False,0,5,13,27,4,8,22,2,1,15,3,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (1),9175,False,True,False,False,7,0,9,41,0,6,37,12,2,5,0,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (2),8761,False,False,False,False,7,6,10,26,2,3,24,8,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (3),9680,False,True,False,False,21,0,2,50,0,1,25,8,8,1,0,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (4),12995,False,True,False,False,11,7,9,66,6,7,31,11,7,1,0,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (5),13574,False,False,False,False,11,3,9,65,3,5,64,10,11,4,1,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (6),12057,False,True,False,False,6,4,10,57,1,8,57,9,3,0,0,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (7),8807,False,False,False,False,4,0,9,25,0,2,24,10,9,3,1,0,0,0,0,0,0,0,0,0,0,0,,
六度集經,T 152 (8),13435,False,True,False,False,7,2,12,39,2,7,10,16,9,6,4,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (1),11470,False,True,False,False,0,13,11,3,2,7,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (2),15630,False,False,False,False,6,27,14,14,19,4,13,19,25,1,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (3),13396,False,False,False,False,2,24,16,4,7,1,1,10,10,9,5,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (4),15052,False,False,False,False,0,3,5,18,0,0,17,60,29,1,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (5),13782,False,False,False,False,8,12,22,10,9,9,2,8,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (6),14081,False,False,False,False,6,22,6,14,8,3,11,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (7),15365,False,False,False,False,2,23,12,4,2,6,4,6,7,0,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (8),12222,False,False,False,False,7,73,0,4,1,0,3,4,4,2,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (9),14591,False,False,False,False,2,34,3,4,12,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (10),13521,False,False,False,False,4,36,3,3,3,1,3,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,,
放光經,T 221 (11),12833,False,False,False,False,4,29,1,5,1,1,5,2,1,4,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (12),11804,False,False,False,False,7,71,3,4,2,3,3,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,,
放光經,T 221 (13),13861,False,False,False,False,3,55,6,20,5,3,16,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,,
放光經,T 221 (14),13861,False,False,False,False,3,55,6,20,7,6,17,1,1,3,1,0,0,1,0,0,0,0,0,0,0,0,,
