term,term_introduced_by,valid_terminology,hanyu_pinyin,translation_type,english_equivalent,sanskrit_equivalent,old_chinese,later_han,middle_chinese,notes,document_frequency,error,validation
佛,An Shigao,True,Fó,Transliteration,Buddha,Buddha,/*prat/,buwt,bjwit,"'佛' is an abbreviation of 佛陀 (Fótuó), which is a transliteration of the Sanskrit word 'Buddha'. It refers to an enlightened being.",1458,,
阿難,An Shigao,True,Ānán,Transliteration,Ananda,Ānanda,*ʔˤa*nˤar,ʔanan,ʔanan,Ānanda was one of the ten principal disciples of the Buddha Śākyamuni. He was the Buddha's cousin and personal attendant for 25 years. He is renowned for his memory and is said to have recited all of the Buddha's discourses at the First Buddhist Council.,894,,
比丘,An Shigao,True,bǐ qiū,Transliteration,"monk, mendicant, almsman",bhikṣu,*p(r)aʔ kʰ(r)u,pij kʰjuw,pijH kʰjuw,Refers to a fully ordained male monastic in Buddhism. The term literally means 'beggar' or 'almsman'. The female equivalent is bhikṣuṇī (比丘尼).,1302,,
阿羅漢,An Shigao,True,ā luó hàn,Transliteration,arhat; worthy one,arhat,*ʔa raː han-s,ʔa la han,ʔa lɑ hɑn,"阿羅漢 is a transliteration of the Sanskrit term 'arhat' (Pali: 'arahant'). The term 'arhat' means 'worthy one' or 'one who is worthy of offerings', and can also be interpreted as 'slayer of foes' (referring to the destruction of defilements). In Buddhism, an arhat is an individual who has attained nirvana and is freed from the cycle of rebirth. The reconstructed pronunciations provided are based on Baxter-Sargart for Old Chinese and Middle Chinese, and Pulleyblank for Later Han.",618,,
餓鬼,An Shigao,True,è guǐ,Semantic,Hungry ghost; preta,Preta (प्रेत),?,?,?,"One of the six realms of existence (gati) in Buddhist cosmology, suffering from insatiable hunger and thirst.",425,,
善知識,An Shigao,True,shàn zhī shí,Semantic,spiritual advisor,kalyāṇamitra,?,?,?,"This term refers to a good spiritual companion, a virtuous friend, or an ethical and spiritual mentor who guides one on the Buddhist path.",324,,
地獄,An Shigao,True,dìyù,Semantic,Hell,Naraka,,,,"Literally 'earth prison' or 'underground prison', referring to the Buddhist realm of suffering.",611,,
沙門,An Shigao,True,shāmén,Transliteration,"śramaṇa, ascetic, renunciant, monk",śramaṇa,*sˤra mˤun,sa mɯn,sra muən,"The term 'śramaṇa' literally means 'one who strives' or 'one who exerts oneself'. It refers to a wandering ascetic or renunciant in ancient India, a category that included followers of various spiritual traditions, including Buddhism, Jainism, and others. In Chinese Buddhism, it primarily refers to a Buddhist monk or nun.",932,,
經,An Shigao,True,jīng,Semantic,"sūtra, scripture, classic",sūtra,,,,"In Buddhism, '經' is a semantic translation of the Sanskrit 'sūtra'. The character originally means 'warp (in weaving)', 'constant', or 'classic text'. It was adopted to signify the foundational Buddhist scriptures, seen as the 'warp' that holds the teachings together or as canonical texts. This semantic choice reflects the textual and doctrinal importance of sūtras.",448,,
解脫,An Shigao,True,jiětuō,Semantic,"liberation, emancipation, deliverance","mokṣa, vimokṣa, vimukti",?,?,?,"A fundamental concept in Buddhism referring to freedom from saṃsāra (the cycle of rebirth), suffering (duḥkha), and the kleshas (mental afflictions).",1162,,
劫,An Shigao,True,jié,Transliteration,kalpa; eon,kalpa,*k(r)ap,kip,kep,"A 'kalpa' refers to an extremely long period of time, often translated as 'eon', in Buddhist cosmology. It is a direct transliteration of the Sanskrit 'kalpa'.",409,,
佛經,An Shigao,True,Fójīng,Semantic,Buddhist scriptures; Buddhist sutras,Buddhavacana,?,?,?,"The term '佛經' refers to the scriptures taught by the Buddha or considered part of the Buddhist canon, primarily the sūtra literature.",67,,
五陰,An Shigao,True,Wǔyīn,Semantic,five aggregates; five skandhas,pañca-skandha,,,,"Refers to the five components that constitute sentient beings: form (色 rūpa), feeling (受 vedanā), perception (想 saṃjñā), mental formations (行 saṃskāra), and consciousness (識 vijñāna).",440,,
